exchange	date	high	low	close	volume	
localbitcoins	10/19/13	248.58	111.34	163.43	703.59	
localbitcoins	10/20/13	249.72	135.58	163.25	232.93	
localbitcoins	10/21/13	270.00	143.98	202.45	1120.49	
localbitcoins	10/22/13	291.18	105.94	209.03	875.83	
localbitcoins	10/23/13	304.64	135.80	208.77	911.55	
localbitcoins	10/24/13	306.68	166.83	291.38	690.47	
localbitcoins	10/25/13	300.00	124.56	197.31	929.79	
localbitcoins	10/26/13	283.50	145.13	206.90	477.86	
localbitcoins	10/27/13	500.00	151.07	241.43	182.62	
localbitcoins	10/28/13	450.00	166.27	201.98	1054.09	
localbitcoins	10/29/13	302.91	145.19	222.00	1043.45	
localbitcoins	10/30/13	375.00	150.75	210.26	883.06	
localbitcoins	10/31/13	301.88	176.76	218.52	693.60	
localbitcoins	11/1/13	304.86	152.40	219.84	944.93	
localbitcoins	11/2/13	306.69	122.35	204.90	487.25	
localbitcoins	11/3/13	309.81	181.93	205.42	243.45	
localbitcoins	11/4/13	339.81	182.52	257.53	1099.69	
localbitcoins	11/5/13	500.86	179.56	240.00	997.04	
localbitcoins	11/6/13	500.00	173.91	234.27	979.12	
localbitcoins	11/7/13	500.15	202.99	310.11	917.44	
localbitcoins	11/8/13	490.59	204.09	365.25	778.87	
localbitcoins	11/9/13	531.92	202.11	259.03	612.12	
localbitcoins	11/10/13	457.26	246.62	342.00	114.79	
localbitcoins	11/11/13	522.00	247.22	377.99	196.78	
localbitcoins	11/12/13	532.34	259.52	371.84	956.43	
localbitcoins	11/13/13	586.60	308.19	391.71	739.09	
localbitcoins	11/14/13	627.62	321.53	438.89	594.33	
localbitcoins	11/15/13	644.94	337.53	440.83	761.61	
localbitcoins	11/16/13	672.33	284.00	521.30	443.53	
localbitcoins	11/17/13	720.00	130.00	544.81	176.66	
localbitcoins	11/18/13	977.34	358.49	796.37	618.89	
localbitcoins	11/19/13	1353.60	328.60	709.60	389.31	
localbitcoins	11/20/13	1236.90	379.93	804.60	518.41	
localbitcoins	11/21/13	1479.64	399.89	590.89	494.59	
localbitcoins	11/22/13	1610.70	430.74	781.71	462.86	
localbitcoins	11/23/13	1767.99	475.08	884.04	316.34	
localbitcoins	11/24/13	1697.64	504.34	850.00	79.34	
localbitcoins	11/25/13	1798.85	552.63	859.10	410.03	
localbitcoins	11/26/13	1882.04	508.00	969.84	409.98	
localbitcoins	11/27/13	2003.40	748.93	1031.11	501.60	
localbitcoins	11/28/13	1639.46	712.99	1299.03	137.50	
localbitcoins	11/29/13	2295.30	717.85	1246.05	393.23	
localbitcoins	11/30/13	1840.02	822.75	1099.13	282.33	
localbitcoins	12/1/13	2357.84	731.10	955.69	89.00	
localbitcoins	12/2/13	2197.88	752.40	1056.64	345.01	
localbitcoins	12/3/13	2215.46	765.00	1080.48	373.51	
localbitcoins	12/4/13	2234.19	713.00	1111.96	362.88	
localbitcoins	12/5/13	2376.07	705.50	1025.81	403.54	
localbitcoins	12/6/13	1602.10	741.45	787.68	288.22	
localbitcoins	12/7/13	1479.63	520.56	738.75	208.76	
localbitcoins	12/8/13	2370.75	614.75	886.88	54.14	
localbitcoins	12/9/13	1989.00	633.60	1128.75	345.93	
localbitcoins	12/10/13	2218.50	742.00	919.61	344.25	
localbitcoins	12/11/13	2193.84	744.61	865.00	343.95	
localbitcoins	12/12/13	1621.40	722.10	1005.08	262.04	
localbitcoins	12/13/13	1541.33	748.17	867.52	252.98	
localbitcoins	12/14/13	1611.21	736.87	897.83	167.85	
localbitcoins	12/15/13	1595.39	732.70	1213.36	92.11	
localbitcoins	12/16/13	1599.80	152.57	752.81	474.40	
localbitcoins	12/17/13	1295.00	540.02	595.94	373.90	
localbitcoins	12/18/13	1288.50	478.98	588.33	558.51	
localbitcoins	12/19/13	1200.00	496.71	739.44	426.89	
localbitcoins	12/20/13	1117.55	476.00	613.11	351.17	
localbitcoins	12/21/13	1166.35	435.11	607.01	263.46	
localbitcoins	12/22/13	1152.91	499.16	724.22	73.78	
localbitcoins	12/23/13	1215.81	519.83	673.51	378.09	
localbitcoins	12/24/13	1234.38	535.47	750.00	253.92	
localbitcoins	12/25/13	1228.46	469.97	792.94	59.70	
localbitcoins	12/26/13	1459.25	581.38	817.11	271.34	
localbitcoins	12/27/13	1446.35	586.44	999.09	386.06	
localbitcoins	12/28/13	1355.56	572.20	715.26	179.27	
localbitcoins	12/29/13	1265.60	590.82	903.96	90.86	
localbitcoins	12/30/13	1278.06	530.40	783.23	453.57	
localbitcoins	12/31/13	1233.53	593.44	765.00	316.42	
localbitcoins	1/1/14	1221.00	597.20	913.70	56.63	
localbitcoins	1/2/14	1448.98	639.94	828.00	383.86	
localbitcoins	1/3/14	1434.58	650.00	952.72	338.63	
localbitcoins	1/4/14	1504.00	611.84	828.25	245.39	
localbitcoins	1/5/14	1657.20	696.60	959.19	97.21	
localbitcoins	1/6/14	1639.88	738.90	1378.66	371.97	
localbitcoins	1/7/14	2091.69	695.00	845.03	345.94	
localbitcoins	1/8/14	1874.00	592.00	838.64	346.43	
localbitcoins	1/9/14	1866.87	677.61	796.10	346.24	
localbitcoins	1/10/14	1919.09	705.49	787.71	352.65	
localbitcoins	1/11/14	2021.04	723.28	925.50	230.51	
localbitcoins	1/12/14	1987.20	727.80	994.73	79.63	
localbitcoins	1/13/14	1867.28	632.17	1075.00	459.19	
localbitcoins	1/14/14	1886.44	696.53	999.18	377.76	
localbitcoins	1/15/14	1903.75	713.14	858.75	372.56	
bitstamp	3/11/13	72.00	72.00	72.00	5.00	
bitstamp	3/12/13	67.79	67.79	67.79	2.00	
bitstamp	3/13/13	56.29	40.00	40.00	17.16	
bitstamp	3/14/13	70.30	50.35	50.35	6.86	
bitstamp	3/15/13	70.96	47.75	48.41	62.49	
bitstamp	3/16/13	70.51	48.09	70.51	26.46	
bitstamp	3/17/13	50.07	46.35	49.75	36.31	
bitstamp	3/18/13	50.37	50.00	50.03	109.49	
bitstamp	3/19/13	82.39	50.03	58.53	76.91	
bitstamp	3/20/13	65.60	51.33	51.33	9.26	
bitstamp	3/21/13	81.65	76.95	78.38	80.68	
bitstamp	3/22/13	106.31	76.90	76.90	28.89	
bitstamp	3/23/13	73.70	73.70	73.70	0.54	
bitstamp	3/24/13	98.85	63.65	97.91	20.05	
bitstamp	3/25/13	84.26	75.00	81.50	12.95	
bitstamp	3/26/13	84.72	67.20	75.00	13.05	
bitstamp	3/27/13	102.95	48.25	101.67	46.85	
bitstamp	3/28/13	103.62	84.69	85.80	40.16	
bitstamp	3/29/13	132.70	86.08	132.70	18.42	
bitstamp	3/30/13	138.00	98.17	98.82	14.10	
bitstamp	3/31/13	140.01	92.92	107.87	37.12	
bitstamp	4/1/13	150.00	100.90	100.90	36.88	
bitstamp	4/2/13	161.52	97.09	108.60	23.87	
bitstamp	4/3/13	178.09	104.00	129.58	94.31	
bitstamp	4/4/13	155.36	93.96	139.65	237.75	
bitstamp	4/5/13	213.88	100.93	137.37	33.04	
bitstamp	4/6/13	160.72	100.00	143.44	15.38	
bitstamp	4/7/13	183.75	166.21	183.75	9.91	
bitstamp	4/8/13	214.25	100.85	211.47	131.20	
bitstamp	4/9/13	268.35	190.01	246.44	125.24	
bitstamp	4/10/13	396.40	201.52	201.52	28.47	
bitstamp	4/11/13	263.50	105.00	105.00	102.30	
bitstamp	4/12/13	170.15	85.73	111.80	180.09	
bitstamp	4/13/13	207.97	113.80	150.00	123.92	
bitstamp	4/14/13	162.00	97.51	162.00	9.46	
bitstamp	4/15/13	150.00	100.23	135.15	39.82	
bitstamp	4/16/13	233.73	73.02	73.02	169.79	
bitstamp	4/17/13	141.36	102.00	103.38	42.06	
bitstamp	4/18/13	205.74	66.24	114.10	44.90	
bitstamp	4/19/13	205.74	87.00	205.74	47.68	
bitstamp	4/20/13	136.05	115.23	126.91	15.14	
bitstamp	4/21/13	137.50	137.50	137.50	3.64	
bitstamp	4/22/13	137.97	107.28	107.28	36.37	
bitstamp	4/23/13	194.48	115.51	153.36	70.61	
bitstamp	4/24/13	181.66	97.66	154.02	53.90	
bitstamp	4/25/13	170.56	145.22	156.91	21.85	
bitstamp	4/26/13	214.70	116.72	144.06	19.81	
bitstamp	4/27/13	203.89	116.10	116.10	15.39	
bitstamp	4/28/13	160.00	122.13	122.13	22.96	
bitstamp	4/29/13	217.36	107.97	217.36	33.97	
bitstamp	4/30/13	255.37	114.26	131.80	37.83	
bitstamp	5/1/13	203.99	110.88	113.80	18.19	
bitstamp	5/2/13	230.26	100.58	111.15	57.62	
bitstamp	5/3/13	188.48	78.17	109.11	66.27	
bitstamp	5/4/13	132.47	92.67	132.47	60.79	
bitstamp	5/5/13	175.48	127.41	143.53	27.53	
bitstamp	5/6/13	183.35	91.68	120.84	59.42	
bitstamp	5/7/13	167.35	85.81	159.55	47.44	
bitstamp	5/8/13	171.53	116.59	129.95	41.30	
bitstamp	5/9/13	171.78	114.91	134.40	60.50	
bitstamp	5/10/13	137.14	89.58	122.25	43.87	
bitstamp	5/11/13	179.36	125.28	132.60	24.41	
bitstamp	5/12/13	175.89	108.78	137.95	41.89	
bitstamp	5/13/13	178.14	57.25	139.44	70.76	
bitstamp	5/14/13	180.71	105.66	169.48	56.39	
bitstamp	5/15/13	132.82	100.27	125.54	99.15	
bitstamp	5/16/13	174.50	101.29	101.38	164.32	
bitstamp	5/17/13	141.60	94.80	128.65	57.69	
bitstamp	5/18/13	145.73	95.20	99.09	36.31	
bitstamp	5/19/13	146.28	96.36	133.43	93.48	
bitstamp	5/20/13	171.42	97.60	123.52	78.09	
bitstamp	5/21/13	171.78	106.17	137.42	72.85	
bitstamp	5/22/13	140.88	110.97	138.32	112.15	
bitstamp	5/23/13	142.53	99.60	135.29	70.59	
bitstamp	5/24/13	150.02	101.34	148.95	125.68	
bitstamp	5/25/13	196.85	104.40	104.40	23.54	
bitstamp	5/26/13	189.20	105.04	142.82	27.36	
bitstamp	5/27/13	148.72	112.87	144.82	28.95	
bitstamp	5/28/13	178.94	102.40	144.58	54.65	
bitstamp	5/29/13	149.69	105.56	148.12	80.49	
bitstamp	5/30/13	148.12	104.00	145.00	127.73	
bitstamp	5/31/13	180.81	102.00	142.68	104.37	
bitstamp	6/1/13	180.95	102.71	145.00	47.96	
bitstamp	6/2/13	170.02	114.83	135.37	19.55	
bitstamp	6/3/13	166.49	95.78	121.48	105.13	
bitstamp	6/4/13	169.59	108.20	123.32	195.08	
bitstamp	6/5/13	169.96	97.28	97.28	63.38	
bitstamp	6/6/13	169.27	95.72	115.64	169.69	
bitstamp	6/7/13	158.38	107.80	115.23	120.10	
bitstamp	6/8/13	133.59	100.72	111.70	104.61	
bitstamp	6/9/13	116.96	95.95	99.71	180.93	
bitstamp	6/10/13	149.73	84.11	134.44	194.41	
bitstamp	6/11/13	153.04	84.17	114.42	198.99	
bitstamp	6/12/13	151.16	97.72	115.45	158.68	
bitstamp	6/13/13	153.22	101.98	116.26	158.71	
bitstamp	6/14/13	143.47	79.91	140.15	133.50	
bitstamp	6/15/13	143.90	85.74	123.03	54.83	
bitstamp	6/16/13	129.75	80.06	119.32	38.10	
bitstamp	6/17/13	142.03	96.90	121.71	172.23	
bitstamp	6/18/13	195.30	97.62	116.79	161.98	
bitstamp	6/19/13	152.53	99.46	127.12	141.11	
bitstamp	6/20/13	155.49	100.00	129.92	177.10	
bitstamp	6/21/13	158.42	102.95	153.22	160.30	
bitstamp	6/22/13	153.38	102.57	114.21	84.19	
bitstamp	6/23/13	152.12	86.08	101.39	78.17	
bitstamp	6/24/13	151.20	84.06	119.96	141.28	
bitstamp	6/25/13	147.56	82.38	94.58	214.45	
bitstamp	6/26/13	146.29	84.00	107.20	153.96	
bitstamp	6/27/13	143.97	92.78	95.73	217.67	
bitstamp	6/28/13	139.52	85.43	85.43	317.42	
bitstamp	6/29/13	136.03	87.75	106.81	104.80	
bitstamp	6/30/13	136.19	91.91	112.80	93.61	
bitstamp	7/1/13	127.18	86.92	101.15	371.44	
bitstamp	7/2/13	127.89	80.54	108.66	366.03	
bitstamp	7/3/13	126.70	69.52	88.53	605.84	
bitstamp	7/4/13	116.63	76.43	78.94	103.46	
bitstamp	7/5/13	110.60	57.44	82.25	297.88	
bitstamp	7/6/13	114.72	55.20	71.73	236.41	
bitstamp	7/7/13	96.95	53.83	78.87	161.17	
bitstamp	7/8/13	116.64	67.28	90.72	421.36	
bitstamp	7/9/13	114.93	72.20	76.74	307.14	
bitstamp	7/10/13	123.68	73.15	91.90	404.02	
bitstamp	7/11/13	124.46	75.40	88.83	326.35	
bitstamp	7/12/13	138.61	79.02	101.71	334.81	
bitstamp	7/13/13	125.92	84.36	104.38	189.45	
bitstamp	7/14/13	134.61	90.25	102.37	122.12	
bitstamp	7/15/13	139.45	76.69	96.70	393.69	
bitstamp	7/16/13	139.27	77.90	93.73	635.55	
bitstamp	7/17/13	137.12	78.31	108.13	601.94	
bitstamp	7/18/13	137.20	77.77	96.98	564.24	
bitstamp	7/19/13	128.67	83.25	89.31	771.27	
bitstamp	7/20/13	129.04	87.46	102.27	307.42	
bitstamp	7/21/13	129.29	84.49	88.20	171.58	
bitstamp	7/22/13	128.51	68.84	117.71	875.69	
bitstamp	7/23/13	144.00	73.44	129.55	819.81	
bitstamp	7/24/13	142.38	87.01	115.03	800.86	
bitstamp	7/25/13	137.44	82.97	116.16	818.83	
bitstamp	7/26/13	137.04	89.38	118.13	727.71	
bitstamp	7/27/13	135.38	80.66	91.70	469.71	
bitstamp	7/28/13	159.66	82.63	110.33	201.41	
bitstamp	7/29/13	156.08	85.97	107.29	829.37	
bitstamp	7/30/13	143.68	80.62	114.56	930.50	
bitstamp	7/31/13	146.03	85.20	110.46	702.41	
bitstamp	8/1/13	150.22	90.18	101.03	1027.09	
bitstamp	8/2/13	149.66	93.51	106.00	929.91	
bitstamp	8/3/13	146.81	83.05	132.69	564.71	
bitstamp	8/4/13	148.30	84.29	148.30	266.74	
bitstamp	8/5/13	150.27	84.05	120.91	924.03	
bitstamp	8/6/13	149.46	85.22	106.71	1186.21	
bitstamp	8/7/13	148.52	85.12	108.89	932.28	
bitstamp	8/8/13	147.70	82.20	110.00	786.92	
bitstamp	8/9/13	139.16	81.41	103.35	1046.05	
bitstamp	8/10/13	144.51	81.99	116.39	585.72	
bitstamp	8/11/13	146.40	87.50	117.52	297.51	
bitstamp	8/12/13	147.54	87.06	103.27	965.27	
bitstamp	8/13/13	152.68	86.53	123.06	935.21	
bitstamp	8/14/13	159.17	85.86	108.00	1156.69	
bitstamp	8/15/13	149.97	90.13	112.33	1072.18	
bitstamp	8/16/13	152.31	90.19	114.38	968.48	
bitstamp	8/17/13	147.88	87.20	113.03	520.25	
bitstamp	8/18/13	155.83	90.76	106.00	297.01	
bitstamp	8/19/13	167.79	90.92	114.15	1639.35	
bitstamp	8/20/13	158.97	88.86	122.00	1078.63	
bitstamp	8/21/13	169.14	93.61	108.45	1026.75	
bitstamp	8/22/13	171.46	88.64	115.47	1146.52	
bitstamp	8/23/13	164.24	98.45	126.76	1272.34	
bitstamp	8/24/13	162.90	97.22	126.58	539.57	
bitstamp	8/25/13	165.75	99.15	118.31	338.97	
bitstamp	8/26/13	173.51	100.85	120.40	1334.87	
bitstamp	8/27/13	185.66	106.04	124.66	1044.08	
bitstamp	8/28/13	185.57	107.82	126.61	992.68	
bitstamp	8/29/13	178.50	104.08	122.37	879.05	
bitstamp	8/30/13	188.14	104.30	129.66	1068.18	
bitstamp	8/31/13	201.00	109.86	132.99	517.35	
bitstamp	9/1/13	203.24	108.90	145.34	159.92	
